Region,Country,Community Name,Population,Water Source Type,Water Availability (liters per capita per day),Number of Functional Water Points,Number of Non-Functional Water Points,Sanitation Facility Type,Annual Maintenance Cost (USD),Government Support,NGO Support,Average Distance to Water Source (km),Waterborne Diseases Incidence Rate (%),Community Satisfaction Rate (%)
Southern Zambia,Zambia,Southern Community 970,1140,Borehole,29.5,14,10,Latrines,38126,No,Yes,3.0,21.6,80.8
Dar es Salaam,Tanzania,Dar Community 971,10535,Well,29.2,49,0,Toilets,49190,Yes,No,9.0,11.4,69.1
Northern Ghana,Ghana,Northern Community 972,13871,Well,13.9,26,4,Latrines,33293,Yes,Yes,1.8,9.5,50.5
Dar es Salaam,Tanzania,Dar Community 973,14195,River,84.7,1,4,Toilets,36594,No,No,4.5,0.8,70.1
Eastern Rwanda,Rwanda,Eastern Community 974,1889,River,19.2,15,4,Latrines,4933,No,Yes,6.6,21.0,67.7
Northern Malawi,Malawi,Northern Community 975,14672,River,88.2,45,0,Latrines,30775,No,No,7.5,22.9,92.2
Eastern Nigeria,Nigeria,Eastern Community 976,3457,Well,88.0,42,10,Toilets,37369,No,Yes,9.0,26.9,68.8
Eastern Rwanda,Rwanda,Eastern Community 977,4708,River,94.3,46,10,Toilets,3483,No,No,1.0,2.8,58.0
Eastern Rwanda,Rwanda,Eastern Community 978,3441,Borehole,55.2,5,10,Toilets,6887,No,No,8.1,29.2,66.9
Eastern Ethiopia,Ethiopia,Eastern Community 979,13440,Well,46.6,11,1,Toilets,35588,Yes,No,2.3,8.3,78.2
Central Senegal,Senegal,Central Community 980,12202,River,77.7,16,5,Toilets,14162,No,Yes,6.5,6.1,92.3
Southern Zambia,Zambia,Southern Community 981,11675,Borehole,68.0,14,2,Latrines,47756,No,Yes,6.4,14.7,60.9
Eastern Rwanda,Rwanda,Eastern Community 982,13138,Borehole,55.2,38,8,Toilets,22244,Yes,No,5.4,3.1,90.3
Western Uganda,Uganda,Western Community 983,4468,River,57.0,36,3,Toilets,40756,Yes,Yes,6.0,1.4,60.5
Eastern Rwanda,Rwanda,Eastern Community 984,5574,River,86.6,7,4,Toilets,19091,No,No,2.9,19.6,54.4
Eastern Nigeria,Nigeria,Eastern Community 985,4169,Well,20.7,45,9,Toilets,3265,Yes,Yes,8.6,14.8,87.6
Southern Zambia,Zambia,Southern Community 986,8311,Well,46.5,25,8,Toilets,4787,Yes,No,2.6,11.6,61.2
Southern Zambia,Zambia,Southern Community 987,1045,Well,37.3,21,7,Toilets,29680,No,No,7.8,18.9,70.6
Southern Zambia,Zambia,Southern Community 988,983,Well,33.4,1,10,Latrines,33664,Yes,No,8.1,7.8,86.3
Eastern Nigeria,Nigeria,Eastern Community 989,12908,Well,38.2,24,3,Latrines,37573,No,Yes,1.4,18.1,79.4
Northern Malawi,Malawi,Northern Community 990,1337,Well,18.0,4,9,Latrines,17127,No,No,5.7,28.7,87.7
Southern Zambia,Zambia,Southern Community 991,8241,River,40.6,43,1,Toilets,16700,No,Yes,4.4,22.3,80.1
Northern Ghana,Ghana,Northern Community 992,2128,Borehole,51.2,30,6,Toilets,11453,Yes,Yes,1.0,15.7,69.0
Southern Zambia,Zambia,Southern Community 993,6457,Well,99.3,15,7,Toilets,7957,No,No,6.1,6.4,75.4
Southern Zambia,Zambia,Southern Community 994,5012,Borehole,67.9,50,1,Toilets,43106,Yes,No,7.2,21.5,85.8
Eastern Nigeria,Nigeria,Eastern Community 995,14784,Well,27.5,48,10,Toilets,37878,Yes,Yes,0.9,27.1,74.4
Western Kenya,Kenya,Western Community 996,4321,Borehole,11.9,45,9,Toilets,43296,Yes,Yes,8.2,15.5,63.2
Eastern Nigeria,Nigeria,Eastern Community 997,13963,Borehole,61.2,11,2,Latrines,20441,No,Yes,9.1,28.9,58.9
Dar es Salaam,Tanzania,Dar Community 998,1158,River,71.5,17,9,Toilets,3553,No,Yes,1.0,6.4,79.1
Western Uganda,Uganda,Western Community 999,4029,River,98.7,33,5,Toilets,21131,Yes,No,2.7,25.0,56.3
Northern Malawi,Malawi,Northern Community 1000,10350,River,46.8,35,1,Latrines,6731,No,No,3.2,25.0,62.2
Eastern Rwanda,Rwanda,Eastern Community 1001,7569,River,26.4,8,1,Latrines,10821,Yes,Yes,9.8,4.9,58.7
Eastern Ethiopia,Ethiopia,Eastern Community 1002,9042,Borehole,67.8,20,5,Latrines,34219,No,Yes,8.8,1.2,92.8
Northern Ghana,Ghana,Northern Community 1003,13524,Borehole,38.2,36,8,Toilets,21941,No,No,3.2,20.4,56.5
Northern Ghana,Ghana,Northern Community 1004,12555,Borehole,16.9,34,8,Latrines,30923,Yes,No,7.6,21.5,94.4
Eastern Nigeria,Nigeria,Eastern Community 1005,11723,Borehole,98.1,4,4,Latrines,8290,Yes,No,5.9,15.3,83.7
Central Senegal,Senegal,Central Community 1006,3423,Well,98.1,10,4,Latrines,4337,Yes,No,5.2,13.7,62.2
Central Senegal,Senegal,Central Community 1007,1251,Borehole,94.6,43,3,Latrines,35140,Yes,No,2.0,18.8,57.6
Western Kenya,Kenya,Western Community 1008,8538,Borehole,53.0,44,7,Toilets,31382,Yes,No,8.8,2.0,90.0
Eastern Ethiopia,Ethiopia,Eastern Community 1009,14903,River,32.2,11,0,Latrines,44322,Yes,Yes,10.0,0.2,80.8
Central Senegal,Senegal,Central Community 1010,14677,Borehole,52.1,33,10,Toilets,46100,Yes,No,4.7,27.5,79.9
Western Kenya,Kenya,Western Community 1011,10287,Well,64.0,20,3,Toilets,23022,Yes,No,8.3,3.9,66.7
Dar es Salaam,Tanzania,Dar Community 1012,4855,Well,32.9,46,7,Toilets,25420,Yes,Yes,6.4,23.3,82.1
Northern Ghana,Ghana,Northern Community 1013,1948,Well,87.7,22,0,Toilets,8133,No,No,0.8,28.2,88.4
Eastern Ethiopia,Ethiopia,Eastern Community 1014,7615,Well,81.8,18,10,Toilets,49693,No,Yes,4.3,11.8,77.1
Northern Ghana,Ghana,Northern Community 1015,2910,Well,30.8,2,8,Latrines,3481,No,No,1.5,5.8,76.8
Northern Malawi,Malawi,Northern Community 1016,11890,Borehole,84.9,2,2,Latrines,8434,No,Yes,6.9,24.7,55.7
Central Senegal,Senegal,Central Community 1017,1371,Borehole,17.9,1,1,Toilets,21499,Yes,Yes,7.4,16.3,65.3
Southern Zambia,Zambia,Southern Community 1018,8236,Borehole,78.5,8,0,Latrines,42050,No,Yes,9.0,27.8,63.2
Eastern Nigeria,Nigeria,Eastern Community 1019,2630,Well,81.5,48,7,Toilets,42800,No,No,5.9,25.5,70.3
Central Senegal,Senegal,Central Community 1020,13509,Well,33.4,16,0,Toilets,19510,Yes,Yes,8.2,15.9,59.6
Eastern Nigeria,Nigeria,Eastern Community 1021,3871,River,38.2,48,9,Toilets,49949,No,No,6.7,27.0,56.4
Northern Malawi,Malawi,Northern Community 1022,11822,Borehole,68.1,42,4,Toilets,19572,Yes,Yes,7.5,18.9,78.9
Western Uganda,Uganda,Western Community 1023,14741,River,17.5,46,0,Toilets,26568,Yes,Yes,3.4,14.8,60.6
Eastern Rwanda,Rwanda,Eastern Community 1024,4702,River,28.3,5,3,Toilets,29738,Yes,Yes,8.1,26.2,51.7
Eastern Ethiopia,Ethiopia,Eastern Community 1025,1668,River,36.1,36,9,Latrines,4945,Yes,Yes,2.1,26.7,76.1
Northern Malawi,Malawi,Northern Community 1026,1287,Well,37.4,32,3,Toilets,43586,Yes,No,3.6,24.8,93.6
Eastern Rwanda,Rwanda,Eastern Community 1027,3383,River,77.8,26,4,Toilets,47381,Yes,Yes,5.1,23.7,84.6
Western Kenya,Kenya,Western Community 1028,7544,River,25.7,38,2,Latrines,39568,No,Yes,4.2,3.3,81.3
Northern Malawi,Malawi,Northern Community 1029,5521,Well,61.8,24,6,Latrines,28466,Yes,No,3.6,9.7,88.5
Central Senegal,Senegal,Central Community 1030,12246,River,47.4,28,6,Latrines,6777,No,No,0.8,0.3,71.4
Eastern Nigeria,Nigeria,Eastern Community 1031,7821,Borehole,86.3,19,9,Latrines,4031,No,No,3.7,6.3,69.8
Western Uganda,Uganda,Western Community 1032,988,River,22.8,6,10,Latrines,16044,No,Yes,2.9,19.0,88.0
Dar es Salaam,Tanzania,Dar Community 1033,5737,Borehole,26.5,35,10,Latrines,1644,Yes,Yes,2.9,13.5,69.7
Eastern Rwanda,Rwanda,Eastern Community 1034,2445,Well,80.7,35,6,Toilets,22058,No,No,8.7,19.9,73.6
Northern Ghana,Ghana,Northern Community 1035,2822,Well,19.8,5,2,Toilets,18137,Yes,Yes,9.1,13.9,92.7
Western Kenya,Kenya,Western Community 1036,14976,River,40.0,49,3,Latrines,28766,Yes,No,1.3,16.1,75.0
Western Uganda,Uganda,Western Community 1037,6532,Well,19.7,33,10,Toilets,25874,No,Yes,7.6,11.9,52.6
Western Kenya,Kenya,Western Community 1038,12661,Well,27.2,43,0,Latrines,4854,No,No,9.4,13.1,87.8
Eastern Rwanda,Rwanda,Eastern Community 1039,6538,Well,50.3,28,7,Latrines,30568,No,No,8.8,2.6,77.9
Northern Ghana,Ghana,Northern Community 1040,4988,Well,58.1,47,8,Latrines,39758,Yes,Yes,3.0,13.5,70.5
Western Kenya,Kenya,Western Community 1041,6215,Borehole,95.0,21,10,Toilets,30439,Yes,Yes,3.7,12.7,63.5
Southern Zambia,Zambia,Southern Community 1042,1044,Well,38.4,49,4,Latrines,41406,Yes,No,1.2,0.6,93.8
Northern Ghana,Ghana,Northern Community 1043,9366,Borehole,57.2,43,8,Toilets,31123,Yes,No,1.4,4.7,66.2
Western Kenya,Kenya,Western Community 1044,5711,Borehole,31.4,25,5,Toilets,42901,Yes,No,4.7,2.9,64.2
Eastern Rwanda,Rwanda,Eastern Community 1045,9181,Borehole,79.7,28,4,Toilets,36143,No,No,7.8,28.6,69.1
Western Uganda,Uganda,Western Community 1046,4426,Borehole,96.4,10,9,Toilets,43258,Yes,Yes,6.4,23.5,84.8
Western Kenya,Kenya,Western Community 1047,11354,River,41.8,8,1,Toilets,8116,No,No,5.0,17.4,64.7
Eastern Nigeria,Nigeria,Eastern Community 1048,9474,Borehole,67.0,20,2,Latrines,6388,Yes,Yes,8.2,6.5,74.9
Western Uganda,Uganda,Western Community 1049,13596,Well,71.8,37,10,Toilets,6197,No,Yes,2.1,0.1,70.2
Northern Ghana,Ghana,Northern Community 1050,5691,Borehole,93.5,9,3,Latrines,19403,Yes,No,8.2,27.2,65.5
Eastern Rwanda,Rwanda,Eastern Community 1051,10902,River,50.7,40,10,Latrines,36501,No,Yes,2.9,2.3,55.7
Southern Zambia,Zambia,Southern Community 1052,10465,Borehole,78.7,42,0,Latrines,5503,No,Yes,2.0,20.2,80.8
Western Uganda,Uganda,Western Community 1053,10349,River,50.6,15,6,Latrines,1296,No,No,7.9,6.9,52.8
Eastern Rwanda,Rwanda,Eastern Community 1054,6101,Well,27.8,17,4,Latrines,19983,Yes,No,7.5,26.5,83.2
Eastern Ethiopia,Ethiopia,Eastern Community 1055,4002,Well,82.5,49,10,Toilets,5591,No,No,6.1,4.2,69.4
Western Kenya,Kenya,Western Community 1056,5933,Borehole,13.9,49,4,Toilets,10320,Yes,Yes,2.2,5.2,77.1
Eastern Rwanda,Rwanda,Eastern Community 1057,2079,Well,65.3,44,10,Toilets,13099,No,Yes,1.7,18.4,79.8
Central Senegal,Senegal,Central Community 1058,2458,Borehole,79.5,10,4,Toilets,29523,No,Yes,8.2,26.9,71.6
Western Kenya,Kenya,Western Community 1059,11887,Borehole,59.9,4,4,Toilets,23899,Yes,No,3.6,22.7,94.3
Western Kenya,Kenya,Western Community 1060,5765,Borehole,97.7,33,1,Latrines,2357,Yes,Yes,8.2,26.6,84.9
Eastern Ethiopia,Ethiopia,Eastern Community 1061,4898,Borehole,53.4,45,7,Latrines,33492,Yes,Yes,7.6,13.3,59.9
Dar es Salaam,Tanzania,Dar Community 1062,7111,Well,39.7,2,5,Toilets,32893,Yes,No,7.8,5.2,60.1
Western Uganda,Uganda,Western Community 1063,5932,River,82.8,35,8,Toilets,27534,No,No,1.6,12.8,57.1
Western Kenya,Kenya,Western Community 1064,10597,River,38.6,42,7,Toilets,21269,No,No,4.1,19.5,81.4
Eastern Ethiopia,Ethiopia,Eastern Community 1065,11522,Borehole,87.9,42,10,Toilets,3459,No,Yes,6.3,18.8,88.1
Southern Zambia,Zambia,Southern Community 1066,14300,Well,32.6,6,4,Toilets,42015,No,No,2.4,2.2,52.0
Central Senegal,Senegal,Central Community 1067,7321,Borehole,47.9,16,3,Toilets,24465,No,No,1.5,4.2,83.8
Western Uganda,Uganda,Western Community 1068,11728,Well,50.1,44,7,Toilets,39081,No,No,5.2,0.8,82.0
Southern Zambia,Zambia,Southern Community 1069,9031,River,16.6,30,1,Toilets,39244,Yes,No,8.2,27.4,94.5
Northern Malawi,Malawi,Northern Community 1070,5189,Well,11.3,15,6,Toilets,43183,No,Yes,8.5,10.2,68.0
Northern Ghana,Ghana,Northern Community 1071,13530,Well,50.9,14,10,Toilets,1139,Yes,Yes,5.2,11.4,57.8
Dar es Salaam,Tanzania,Dar Community 1072,887,Borehole,80.9,32,10,Toilets,1077,No,Yes,3.1,1.8,58.7
Dar es Salaam,Tanzania,Dar Community 1073,13163,Borehole,48.7,21,5,Toilets,33313,No,No,7.3,14.9,73.5
Western Uganda,Uganda,Western Community 1074,4990,Well,50.4,46,0,Latrines,22982,Yes,No,8.5,11.0,52.3
Western Uganda,Uganda,Western Community 1075,836,River,91.5,18,9,Latrines,38221,Yes,Yes,4.8,13.9,80.2
Eastern Ethiopia,Ethiopia,Eastern Community 1076,4107,Borehole,97.8,17,5,Latrines,38445,Yes,No,8.9,24.7,92.4
Western Uganda,Uganda,Western Community 1077,11794,Borehole,13.1,29,4,Toilets,2782,No,No,7.8,0.1,79.4
Southern Zambia,Zambia,Southern Community 1078,14304,Well,80.3,40,0,Toilets,3249,No,No,9.6,28.1,79.5
Southern Zambia,Zambia,Southern Community 1079,12993,Borehole,78.0,36,5,Latrines,25659,Yes,No,9.3,9.8,84.6
Eastern Ethiopia,Ethiopia,Eastern Community 1080,14588,River,77.6,47,0,Toilets,9777,No,Yes,1.5,4.4,80.7
Central Senegal,Senegal,Central Community 1081,9726,River,75.0,39,1,Latrines,39572,No,No,3.1,25.1,80.6
Eastern Nigeria,Nigeria,Eastern Community 1082,7373,River,30.8,15,1,Latrines,23166,Yes,No,2.1,28.0,73.8
Western Kenya,Kenya,Western Community 1083,3866,River,96.3,15,9,Latrines,22935,No,Yes,9.8,2.4,78.8
Northern Malawi,Malawi,Northern Community 1084,1797,Well,68.2,3,10,Latrines,12536,No,Yes,4.0,27.1,88.5
Western Kenya,Kenya,Western Community 1085,3584,Borehole,98.2,19,9,Toilets,45430,Yes,Yes,2.2,13.9,53.0
Central Senegal,Senegal,Central Community 1086,9897,River,33.0,19,2,Latrines,44789,No,Yes,5.5,9.5,52.9
Eastern Nigeria,Nigeria,Eastern Community 1087,13324,River,47.2,17,10,Latrines,46659,No,Yes,4.5,23.9,71.6
Northern Malawi,Malawi,Northern Community 1088,7418,Well,74.8,2,2,Latrines,30542,No,Yes,1.6,13.3,65.9
Western Uganda,Uganda,Western Community 1089,6232,River,68.0,38,0,Latrines,49407,Yes,Yes,6.6,19.5,58.5
Western Uganda,Uganda,Western Community 1090,10063,Well,93.3,29,4,Latrines,5906,No,No,6.5,13.6,78.7
Northern Malawi,Malawi,Northern Community 1091,10222,Borehole,59.3,15,0,Toilets,6467,No,Yes,0.8,3.4,53.9
Southern Zambia,Zambia,Southern Community 1092,11257,River,24.7,3,10,Latrines,43271,Yes,No,3.0,17.2,64.3
Northern Malawi,Malawi,Northern Community 1093,3979,River,42.5,39,9,Toilets,5126,No,Yes,3.7,25.4,50.6
Eastern Nigeria,Nigeria,Eastern Community 1094,9901,Well,71.8,27,4,Toilets,40433,No,Yes,1.1,13.3,90.9
Dar es Salaam,Tanzania,Dar Community 1095,8806,Borehole,55.6,1,3,Latrines,49292,No,No,7.5,13.0,59.6
Eastern Ethiopia,Ethiopia,Eastern Community 1096,3202,River,71.5,30,10,Latrines,13001,No,Yes,4.2,5.3,53.1
Southern Zambia,Zambia,Southern Community 1097,8473,River,40.0,1,4,Latrines,20522,No,Yes,1.2,22.5,86.3
Northern Ghana,Ghana,Northern Community 1098,11173,River,57.0,2,0,Latrines,2400,Yes,Yes,6.1,10.8,57.5
Eastern Rwanda,Rwanda,Eastern Community 1099,6132,River,86.1,44,7,Latrines,32047,No,Yes,5.6,20.7,94.9
Eastern Rwanda,Rwanda,Eastern Community 1100,11589,Well,64.0,15,2,Toilets,10502,No,Yes,6.0,1.4,62.1
Western Uganda,Uganda,Western Community 1101,5332,Borehole,58.3,50,2,Latrines,26234,No,No,8.2,7.9,93.5
Eastern Ethiopia,Ethiopia,Eastern Community 1102,14007,River,43.5,14,0,Latrines,12875,No,Yes,7.7,22.8,56.0
Eastern Nigeria,Nigeria,Eastern Community 1103,3160,River,52.7,27,6,Latrines,27927,Yes,Yes,5.5,25.5,57.5
Western Kenya,Kenya,Western Community 1104,3596,River,82.8,34,0,Toilets,44863,Yes,Yes,3.6,6.2,74.9
Dar es Salaam,Tanzania,Dar Community 1105,4740,Well,90.6,39,5,Latrines,27040,No,No,8.1,8.8,85.1
Western Kenya,Kenya,Western Community 1106,8268,Borehole,34.2,31,2,Toilets,49453,No,No,8.2,2.9,81.1
Central Senegal,Senegal,Central Community 1107,11254,Well,91.5,24,9,Latrines,6315,No,No,8.5,2.0,91.1
Western Kenya,Kenya,Western Community 1108,997,River,31.6,50,0,Latrines,8887,No,Yes,5.5,15.2,65.4
Northern Ghana,Ghana,Northern Community 1109,3771,Well,13.4,16,4,Toilets,20235,No,No,8.5,23.0,60.6
Eastern Nigeria,Nigeria,Eastern Community 1110,3800,Borehole,54.0,40,8,Toilets,43015,Yes,Yes,6.1,10.4,53.5
Central Senegal,Senegal,Central Community 1111,1470,Borehole,61.3,10,0,Toilets,33698,Yes,Yes,0.8,2.4,72.2
Northern Malawi,Malawi,Northern Community 1112,1305,Well,78.6,47,0,Toilets,36001,Yes,No,8.7,3.7,85.6
Eastern Nigeria,Nigeria,Eastern Community 1113,13510,River,35.4,33,3,Toilets,49315,Yes,No,7.3,19.9,72.5
Southern Zambia,Zambia,Southern Community 1114,3199,Borehole,68.3,37,2,Toilets,44984,No,Yes,4.8,13.7,53.7
Eastern Nigeria,Nigeria,Eastern Community 1115,12379,Well,99.3,29,7,Latrines,23824,Yes,No,3.9,16.9,60.9
Northern Ghana,Ghana,Northern Community 1116,1316,Well,48.5,29,6,Latrines,25062,No,Yes,3.6,22.9,56.7
Eastern Rwanda,Rwanda,Eastern Community 1117,8087,River,35.5,36,2,Latrines,15227,No,Yes,3.2,23.4,71.9
Eastern Rwanda,Rwanda,Eastern Community 1118,1260,River,87.3,14,6,Latrines,43964,No,Yes,1.4,22.5,88.0
Southern Zambia,Zambia,Southern Community 1119,13519,River,56.5,49,7,Toilets,43919,Yes,No,2.4,7.2,68.4
Western Uganda,Uganda,Western Community 1120,4375,Borehole,55.3,28,7,Latrines,1787,No,Yes,8.1,28.5,51.2
Western Kenya,Kenya,Western Community 1121,7030,River,24.0,5,8,Latrines,9114,No,Yes,5.9,24.6,61.6
Western Uganda,Uganda,Western Community 1122,9897,Borehole,64.8,2,3,Latrines,41514,No,No,9.2,16.9,84.2
Eastern Ethiopia,Ethiopia,Eastern Community 1123,6862,River,47.4,47,5,Toilets,18409,No,No,1.3,24.5,92.4
Northern Malawi,Malawi,Northern Community 1124,14336,Borehole,19.2,4,8,Latrines,19370,No,No,1.4,25.3,63.7
Northern Malawi,Malawi,Northern Community 1125,6805,Well,51.4,23,6,Toilets,16238,No,No,1.9,5.6,90.8
Eastern Ethiopia,Ethiopia,Eastern Community 1126,9712,River,95.2,36,0,Latrines,9319,Yes,No,7.1,5.2,94.7
Eastern Rwanda,Rwanda,Eastern Community 1127,9608,Borehole,28.1,2,8,Latrines,39177,Yes,Yes,6.7,9.2,73.5
Northern Malawi,Malawi,Northern Community 1128,13868,Well,68.6,40,1,Toilets,10192,No,No,5.8,6.8,82.2
Northern Ghana,Ghana,Northern Community 1129,1123,Well,42.2,41,1,Toilets,36918,Yes,Yes,4.2,24.5,93.4
Eastern Nigeria,Nigeria,Eastern Community 1130,14462,Borehole,46.5,35,6,Toilets,32309,Yes,Yes,2.2,18.0,87.8
Eastern Rwanda,Rwanda,Eastern Community 1131,7613,River,80.5,25,2,Toilets,6830,Yes,No,6.5,24.2,88.7
Northern Malawi,Malawi,Northern Community 1132,533,Well,18.4,26,5,Latrines,4218,No,No,2.9,1.0,68.1
Northern Malawi,Malawi,Northern Community 1133,14776,River,76.9,27,7,Toilets,43367,Yes,Yes,6.2,29.9,53.0
Northern Ghana,Ghana,Northern Community 1134,1206,River,71.3,34,3,Toilets,6530,No,Yes,4.4,10.6,91.1
Northern Ghana,Ghana,Northern Community 1135,12272,River,82.2,29,8,Toilets,35551,Yes,Yes,2.9,28.4,71.8
Northern Malawi,Malawi,Northern Community 1136,14080,River,98.0,50,1,Latrines,22167,No,No,9.8,19.1,84.7
Dar es Salaam,Tanzania,Dar Community 1137,9684,Well,61.7,17,7,Latrines,14706,Yes,No,5.0,14.8,86.9
Southern Zambia,Zambia,Southern Community 1138,4654,Well,24.3,41,9,Latrines,14289,No,Yes,6.7,3.5,84.2
Western Kenya,Kenya,Western Community 1139,8576,Borehole,21.5,37,5,Toilets,29242,No,Yes,2.7,20.0,79.0
Eastern Rwanda,Rwanda,Eastern Community 1140,8691,Borehole,68.2,6,0,Toilets,43165,No,Yes,5.8,23.0,61.5
Dar es Salaam,Tanzania,Dar Community 1141,9867,Well,14.9,49,3,Toilets,42339,No,Yes,7.7,12.7,82.7
Central Senegal,Senegal,Central Community 1142,14168,Well,87.9,46,5,Latrines,46523,Yes,No,1.2,12.9,92.2
Central Senegal,Senegal,Central Community 1143,5401,Well,27.6,28,7,Latrines,25899,Yes,Yes,8.7,16.8,59.2
Eastern Rwanda,Rwanda,Eastern Community 1144,1613,River,20.7,4,4,Latrines,23270,Yes,No,2.7,5.6,52.9
Eastern Nigeria,Nigeria,Eastern Community 1145,14530,River,65.9,48,5,Latrines,30313,No,Yes,7.0,7.9,71.1
Western Uganda,Uganda,Western Community 1146,2529,River,11.0,18,6,Toilets,16257,Yes,No,9.6,19.2,91.3
Western Kenya,Kenya,Western Community 1147,3999,River,43.6,47,9,Toilets,42059,No,No,7.1,20.1,68.5
Eastern Ethiopia,Ethiopia,Eastern Community 1148,3469,River,71.0,21,4,Toilets,28378,No,Yes,0.9,11.4,85.5
Western Uganda,Uganda,Western Community 1149,14228,Well,70.8,35,9,Toilets,6059,Yes,Yes,2.5,24.0,61.3
Southern Zambia,Zambia,Southern Community 1150,10182,Borehole,38.9,19,2,Toilets,5306,Yes,Yes,8.4,15.4,56.8
Northern Malawi,Malawi,Northern Community 1151,2472,River,61.6,11,6,Latrines,13443,Yes,Yes,2.4,23.7,63.5
Southern Zambia,Zambia,Southern Community 1152,2641,Well,65.8,47,8,Toilets,5020,No,Yes,3.1,8.8,85.4
Northern Ghana,Ghana,Northern Community 1153,10327,Borehole,28.7,23,5,Latrines,14631,Yes,Yes,2.5,15.2,59.2
Southern Zambia,Zambia,Southern Community 1154,10940,Borehole,78.7,27,10,Toilets,7541,No,Yes,6.0,22.4,57.9
Central Senegal,Senegal,Central Community 1155,3170,Well,18.3,33,7,Toilets,46364,No,No,5.0,8.0,85.6
Eastern Rwanda,Rwanda,Eastern Community 1156,13975,River,70.6,10,0,Toilets,5783,Yes,No,6.2,20.9,55.9
Northern Malawi,Malawi,Northern Community 1157,3157,River,15.2,25,3,Toilets,32863,Yes,Yes,3.7,23.8,85.3
Northern Malawi,Malawi,Northern Community 1158,1386,River,21.6,12,0,Toilets,19061,Yes,No,1.3,0.2,88.2
Western Kenya,Kenya,Western Community 1159,9949,Borehole,88.1,29,0,Latrines,46249,No,Yes,4.4,0.5,78.1
Western Uganda,Uganda,Western Community 1160,969,Borehole,36.3,24,7,Latrines,26432,No,Yes,3.8,4.8,72.3
Southern Zambia,Zambia,Southern Community 1161,2050,Well,91.2,32,1,Latrines,16633,Yes,Yes,5.4,7.5,89.7
Western Kenya,Kenya,Western Community 1162,4211,Well,17.2,45,2,Latrines,16689,No,Yes,3.4,0.4,74.3
Dar es Salaam,Tanzania,Dar Community 1163,645,River,93.8,21,1,Latrines,11947,No,Yes,3.0,19.5,51.8
Western Kenya,Kenya,Western Community 1164,7682,Borehole,42.7,37,6,Toilets,4129,Yes,No,2.6,13.1,88.2
Eastern Ethiopia,Ethiopia,Eastern Community 1165,4039,Borehole,80.7,44,3,Toilets,21841,No,Yes,4.5,25.0,69.3
Southern Zambia,Zambia,Southern Community 1166,8734,River,90.6,30,3,Toilets,12423,Yes,No,4.7,26.7,63.3
Western Uganda,Uganda,Western Community 1167,8143,River,66.4,12,8,Latrines,20848,No,No,6.5,2.2,88.9
Southern Zambia,Zambia,Southern Community 1168,11861,River,46.1,39,5,Latrines,1691,No,Yes,5.3,20.4,50.6
Western Kenya,Kenya,Western Community 1169,13741,Well,83.1,39,0,Toilets,20401,No,Yes,9.7,24.2,53.5
Western Kenya,Kenya,Western Community 1170,3281,Borehole,21.2,40,9,Toilets,3733,No,Yes,1.2,16.8,74.7
Western Kenya,Kenya,Western Community 1171,583,Well,35.2,30,0,Toilets,28984,Yes,No,0.8,6.4,69.9
Western Kenya,Kenya,Western Community 1172,4041,Borehole,98.9,28,10,Toilets,31599,No,Yes,7.0,6.4,86.4
Eastern Nigeria,Nigeria,Eastern Community 1173,6514,River,38.9,8,9,Toilets,21839,No,No,4.4,14.2,82.8
Dar es Salaam,Tanzania,Dar Community 1174,4408,Borehole,79.2,45,9,Latrines,33497,No,No,0.7,22.4,85.2
Eastern Ethiopia,Ethiopia,Eastern Community 1175,12962,Borehole,10.7,29,7,Toilets,1374,No,No,5.5,7.3,91.0
Central Senegal,Senegal,Central Community 1176,7170,Borehole,71.6,35,8,Latrines,30994,Yes,Yes,8.9,3.6,89.6
Dar es Salaam,Tanzania,Dar Community 1177,14281,Well,15.9,50,3,Toilets,19463,Yes,No,2.4,8.1,59.5
Eastern Nigeria,Nigeria,Eastern Community 1178,7443,Well,74.2,36,10,Latrines,35178,No,Yes,7.2,26.9,68.3
Central Senegal,Senegal,Central Community 1179,11753,River,47.2,19,4,Latrines,2668,No,Yes,9.3,7.9,59.7
Western Uganda,Uganda,Western Community 1180,13065,River,84.3,15,2,Toilets,36671,Yes,Yes,4.6,28.2,67.7
Western Uganda,Uganda,Western Community 1181,5381,Borehole,91.3,6,0,Latrines,10430,No,Yes,1.4,27.6,72.2
Northern Ghana,Ghana,Northern Community 1182,2894,River,11.5,32,2,Latrines,6324,No,No,7.6,18.7,50.4
Central Senegal,Senegal,Central Community 1183,4861,Well,95.4,28,4,Toilets,11591,Yes,Yes,1.3,28.0,88.5
Eastern Ethiopia,Ethiopia,Eastern Community 1184,8333,Well,11.1,15,8,Toilets,3496,Yes,No,1.4,11.7,91.9
Central Senegal,Senegal,Central Community 1185,11188,Borehole,78.3,48,6,Toilets,49034,Yes,No,0.6,24.9,83.2
Western Kenya,Kenya,Western Community 1186,13068,Borehole,68.5,34,8,Toilets,38390,Yes,No,4.6,22.0,74.7
Southern Zambia,Zambia,Southern Community 1187,6159,Well,18.8,10,5,Latrines,7763,Yes,Yes,0.6,19.6,74.7
Western Kenya,Kenya,Western Community 1188,10582,River,52.1,30,2,Latrines,31449,No,Yes,4.8,27.2,51.2
Eastern Ethiopia,Ethiopia,Eastern Community 1189,8947,Borehole,88.5,49,9,Toilets,32792,No,Yes,4.1,9.7,61.1
